0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:49 -0800] "GET /cs122b-project/api/browse?browseType=genre&category=ctxx&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:49:58 -0800] "GET /cs122b-project/page/search.html HTTP/1.1" 200 9080
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:49:58 -0800] "GET /cs122b-project/css/search.css HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:49:58 -0800] "GET /cs122b-project/js/search.js HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:49:58 -0800] "GET /cs122b-project/js/textSearch.js HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:49:58 -0800] "GET /cs122b-project/js/TopMovies.js HTTP/1.1" 200 4788
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:49:58 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:49:58 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:49:58 -0800] "GET /cs122b-project/api/browse?browseType=null&category=null&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:49:58 -0800] "GET /cs122b-project/api/genres HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:49:58 -0800] "GET /cs122b-project/api/topMovies?NumofMovie=3 HTTP/1.1" 200 12226
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:03 -0800] "GET /cs122b-project/api/search?title=monster HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:03 -0800] "GET /cs122b-project/page/aSearchResult.html?title=monster&&year=&&star=%20&&director= HTTP/1.1" 200 5655
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:03 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:03 -0800] "GET /cs122b-project/js/aSearch.js HTTP/1.1" 200 10912
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:03 -0800] "GET /cs122b-project/api/search?title=monster&year=&director=&star=%20&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:07 -0800] "GET /cs122b-project/page/search.html HTTP/1.1" 200 9080
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:07 -0800] "GET /cs122b-project/js/TopMovies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:07 -0800] "GET /cs122b-project/css/search.css HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:07 -0800] "GET /cs122b-project/js/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:07 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:07 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:07 -0800] "GET /cs122b-project/js/textSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:07 -0800] "GET /cs122b-project/api/browse?browseType=null&category=null&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:07 -0800] "GET /cs122b-project/api/genres HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:07 -0800] "GET /cs122b-project/api/topMovies?NumofMovie=3 HTTP/1.1" 200 12226
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:11 -0800] "GET /cs122b-project/api/search?title=a%20fine%20mess HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:11 -0800] "GET /cs122b-project/page/aSearchResult.html?title=a%20fine%20mess&&year=&&star=%20&&director= HTTP/1.1" 200 5655
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:11 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:11 -0800] "GET /cs122b-project/js/aSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:11 -0800] "GET /cs122b-project/api/search?title=a%20fine%20mess&year=&director=&star=%20&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:14 -0800] "GET /cs122b-project/page/search.html HTTP/1.1" 200 9080
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:14 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:14 -0800] "GET /cs122b-project/js/TopMovies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:14 -0800] "GET /cs122b-project/js/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:14 -0800] "GET /cs122b-project/js/textSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:14 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:14 -0800] "GET /cs122b-project/css/search.css HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:14 -0800] "GET /cs122b-project/api/browse?browseType=null&category=null&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:14 -0800] "GET /cs122b-project/api/genres HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:14 -0800] "GET /cs122b-project/api/topMovies?NumofMovie=3 HTTP/1.1" 200 12226
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:19 -0800] "GET /cs122b-project/api/search?title=a%20fine%20mess HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:19 -0800] "GET /cs122b-project/page/aSearchResult.html?title=a%20fine%20mess&&year=&&star=%20&&director= HTTP/1.1" 200 5655
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:19 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:19 -0800] "GET /cs122b-project/js/aSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:19 -0800] "GET /cs122b-project/api/search?title=a%20fine%20mess&year=&director=&star=%20&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:22 -0800] "GET /cs122b-project/page/search.html HTTP/1.1" 200 9080
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:22 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:22 -0800] "GET /cs122b-project/js/TopMovies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:22 -0800] "GET /cs122b-project/js/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:22 -0800] "GET /cs122b-project/css/search.css HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:22 -0800] "GET /cs122b-project/js/textSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:22 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:22 -0800] "GET /cs122b-project/api/browse?browseType=null&category=null&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:22 -0800] "GET /cs122b-project/api/genres HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:22 -0800] "GET /cs122b-project/api/topMovies?NumofMovie=3 HTTP/1.1" 200 12226
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:48 -0800] "GET /cs122b-project/page/searchResult.html?browseType=genre&category=tv HTTP/1.1" 200 3987
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:48 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:48 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:48 -0800] "GET /cs122b-project/api/browse?browseType=genre&category=tv&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:54 -0800] "GET /cs122b-project/page/search.html HTTP/1.1" 200 9080
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:55 -0800] "GET /cs122b-project/js/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:55 -0800] "GET /cs122b-project/css/search.css HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:55 -0800] "GET /cs122b-project/js/textSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:55 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:55 -0800] "GET /cs122b-project/js/TopMovies.js HTTP/1.1" 304 -
