0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:06 -0800] "GET /cs122b-project/api/genres HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:06 -0800] "GET /cs122b-project/api/topMovies?NumofMovie=3 HTTP/1.1" 200 12226
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:08 -0800] "GET /cs122b-project/api/fullTextSearch?query=asa HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:15 -0800] "GET /cs122b-project/page/textSearchResult.html?query=a&&offset=10 HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:15 -0800] "GET /cs122b-project/js/textSearchResult.js HTTP/1.1" 200 5429
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:15 -0800] "GET /cs122b-project/api/fullTextSearch?query=a&&offset=10 HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:28 -0800] "GET /cs122b-project/page/search.html HTTP/1.1" 200 9355
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:28 -0800] "GET /cs122b-project/css/search.css HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:28 -0800] "GET /cs122b-project/css/textSearch.css HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:28 -0800] "GET /cs122b-project/js/search.js HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:28 -0800] "GET /cs122b-project/js/textSearch.js HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:28 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 200 10622
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:28 -0800] "GET /cs122b-project/js/TopMovies.js HTTP/1.1" 200 4788
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:28 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:29 -0800] "GET /cs122b-project/api/browse?browseType=null&category=null&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:29 -0800] "GET /cs122b-project/api/genres HTTP/1.1" 200 6706
